72,枯野抄,NDC 913,1998/6/4,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
73,或敵打の話,NDC 913,1999/1/12,2017/6/4,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
74,片恋,NDC 913,1998/12/7,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
75,袈裟と盛遠,NDC 913,1998/12/23,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
76,奇遇,NDC 913,1998/12/19,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
77,奇怪な再会,NDC 913,1998/12/19,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
78,金将軍,NDC 913,1999/1/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
79,きりしとほろ上人伝,NDC 913,1998/6/22,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
80,煙管,NDC 913,1998/11/11,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
81,木曽義仲論,NDC 914,1999/1/30,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
82,古千屋,NDC 913,1999/2/3,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
83,孤独地獄,NDC 913,1998/3/16,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
84,子供の病気,NDC 914,1999/1/5,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
85,黒衣聖母,NDC 913,1998/12/28,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
86,二人小町,NDC 912,1999/1/10,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
87,湖南の扇,NDC 913,1998/10/20,2016/2/25,879,芥川 竜之介,昭和文学全集　第1巻,小学館,j.utiyama,柳沢成雄
88,黄粱夢,NDC 913,1997/11/10,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,野口英司、平山誠,もりみつじゅんじ
89,校正後に,NDC 914,1999/1/12,2014/9/17,879,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店,j.utiyama,かとうかおり
90,好色,NDC 913,1999/1/19,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
91,首が落ちた話,NDC 913,1998/12/23,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
92,蜘蛛の糸,NDC K913,1997/11/10,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,野口英司、平山誠,もりみつじゅんじ
93,「鏡花全集」目録開口,NDC 914,1999/5/26,2014/9/17,879,芥川 竜之介,筑摩全集類聚版芥川龍之介全集第五巻,筑摩書房,山田豊,菅野朋子
94,LOS CAPRICHOS,NDC 913,1999/1/26,2014/9/17,879,芥川 竜之介,芥川龍之介作品集第三巻,昭和出版社,j.utiyama,かとうかおり
95,魔術,NDC K913,1998/12/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
96,松江印象記,NDC 915,1999/1/11,2014/9/17,879,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店,j.utiyama,かとうかおり
